Frequency (GHz)	DB(|S(2,1)|) : LNA_FF_2V_Bias
1	19.2639
1.01375	19.4455
1.0275	19.7756
1.04125	19.8139
1.055	19.9448
1.06875	19.9796
1.0825	19.7999
1.09625	19.7529
1.11	19.9283
1.12375	19.9427
1.1375	19.9663
1.15125	19.7443
1.165	19.4424
1.17875	19.059
1.1925	18.7457
1.20625	18.2127
1.22	17.4503
1.23375	16.4445
1.2475	15.6018
1.26125	15.2124
1.275	15.9437
1.28875	17.0915
1.3025	17.943
1.31625	18.6828
1.33	19.289
1.34375	19.5597
1.3575	19.6548
1.37125	19.6216
1.385	19.6076
1.39875	19.9436
1.4125	19.9726
1.42625	20.1556
1.44	20.4243
1.45375	20.631
1.4675	20.8973
1.48125	20.9367
1.495	21.0451
1.50875	21.1059
1.5225	21.1034
1.53625	21.0937
1.55	21.1565
1.56375	21.3176
1.5775	21.2991
1.59125	21.2996
1.605	21.2464
1.61875	21.2049
1.6325	21.1909
1.64625	21.2315
1.66	21.1496
1.67375	21.2405
1.6875	21.1693
1.70125	21.0996
1.715	21.1144
1.72875	21.0736
1.7425	21.0685
1.75625	21.0026
1.77	20.946
1.78375	20.9589
1.7975	20.8316
1.81125	20.9227
1.825	20.9584
1.83875	20.745
1.8525	20.7683
1.86625	20.7724
1.88	20.656
1.89375	20.5371
1.9075	20.6577
1.92125	20.5051
1.935	20.4643
1.94875	20.3893
1.9625	20.3251
1.97625	20.2408
1.99	20.24
2.00375	20.2494
2.0175	20.1212
2.03125	20.0956
2.045	20.1349
2.05875	20.1282
2.0725	19.9636
2.08625	19.9209
2.1	19.8489
2.11375	19.7899
2.1275	19.6669
2.14125	19.6885
2.155	19.629
2.16875	19.6141
2.1825	19.4946
2.19625	19.4761
2.21	19.346
2.22375	19.3765
2.2375	19.2356
2.25125	19.1775
2.265	19.1024
2.27875	18.9856
2.2925	18.8991
2.30625	18.84
2.32	18.8705
2.33375	18.8518
2.3475	18.7228
2.36125	18.6367
2.375	18.5846
2.38875	18.4454
2.4025	18.3636
2.41625	18.4237
2.43	18.3191
2.44375	18.2656
2.4575	18.1566
2.47125	18.069
2.485	17.9838
2.49875	17.9939
2.5125	17.8525
2.52625	17.8337
2.54	17.778
2.55375	17.6592
2.5675	17.6176
2.58125	17.5176
2.595	17.4343
2.60875	17.355
2.6225	17.3495
2.63625	17.332
2.65	17.2197
2.66375	17.1019
2.6775	16.9866
2.69125	16.9672
2.705	16.9504
2.71875	16.8279
2.7325	16.7855
2.74625	16.6973
2.76	16.6398
2.77375	16.6058
2.7875	16.4497
2.80125	16.4859
2.815	16.3819
2.82875	16.3614
2.8425	16.1911
2.85625	16.2058
2.87	16.0858
2.88375	16.0963
2.8975	16.0391
2.91125	15.9463
2.925	15.8425
2.93875	15.8122
2.9525	15.7827
2.96625	15.6938
2.98	15.6312
2.99375	15.6147
3.0075	15.5102
3.02125	15.4497
3.035	15.3294
3.04875	15.294
3.0625	15.2748
3.07625	15.1526
3.09	15.1085
3.10375	15.1251
3.1175	15.019
3.13125	14.9227
3.145	14.9144
3.15875	14.8915
3.1725	14.7586
3.18625	14.7062
3.2	14.7066
3.21375	14.5779
3.2275	14.5419
3.24125	14.4566
3.255	14.4228
3.26875	14.3808
3.2825	14.2327
3.29625	14.2236
3.31	14.2193
3.32375	14.1402
3.3375	14.0477
3.35125	13.9984
3.365	13.9551
3.37875	13.9016
3.3925	13.8565
3.40625	13.8307
3.42	13.7386
3.43375	13.6315
3.4475	13.6425
3.46125	13.5826
3.475	13.4379
3.48875	13.386
3.5025	13.414
3.51625	13.2544
3.53	13.2448
3.54375	13.1633
3.5575	13.0737
3.57125	13.0854
3.585	12.9914
3.59875	12.9323
3.6125	12.9199
3.62625	12.8508
3.64	12.7331
3.65375	12.7083
3.6675	12.5631
3.68125	12.6242
3.695	12.4786
3.70875	12.3936
3.7225	12.3827
3.73625	12.3317
3.75	12.1965
3.76375	12.1489
3.7775	12.0947
3.79125	12.0021
3.805	11.9871
3.81875	12.0081
3.8325	11.8877
3.84625	11.7622
3.86	11.7447
3.87375	11.7008
3.8875	11.6132
3.90125	11.5367
3.915	11.4535
3.92875	11.4088
3.9425	11.3518
3.95625	11.2543
3.97	11.1297
3.98375	11.0271
3.9975	11.0596
4.01125	10.9653
4.025	10.9499
4.03875	10.8446
4.0525	10.785
4.06625	10.7245
4.08	10.5979
4.09375	10.5827
4.1075	10.4186
4.12125	10.4389
4.135	10.3995
4.14875	10.3171
4.1625	10.1261
4.17625	10.106
4.19	9.99207
4.20375	9.95189
4.2175	9.8868
4.23125	9.8296
4.245	9.72413
4.25875	9.65138
4.2725	9.54826
4.28625	9.44535
4.3	9.26558
4.31375	9.24838
4.3275	9.14826
4.34125	8.98729
4.355	8.89148
4.36875	8.83274
4.3825	8.67048
4.39625	8.57367
4.41	8.45059
4.42375	8.25134
4.4375	8.1741
4.45125	8.03266
4.465	7.90451
4.47875	7.7704
4.4925	7.67587
4.50625	7.47049
4.52	7.33738
4.53375	7.21812
4.5475	6.97412
4.56125	6.82809
4.575	6.73943
4.58875	6.5836
4.6025	6.51369
4.61625	6.34677
4.63	6.30861
4.64375	6.25791
4.6575	6.35949
4.67125	6.33609
4.685	6.4342
4.69875	6.28398
4.7125	6.40926
4.72625	6.35801
4.74	6.41727
4.75375	6.55639
4.7675	6.69759
4.78125	6.70003
4.795	6.66371
4.80875	6.64085
4.8225	6.71998
4.83625	6.79416
4.85	6.79527
4.86375	6.89139
4.8775	6.92524
4.89125	6.98171
4.905	6.9396
4.91875	7.02405
4.9325	6.9589
4.94625	7.04344
4.96	6.99557
4.97375	6.98897
